	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199
ABAT	0.053163793	0.06466734	-0.21593073	0.2349698	0.07718503	0.2619362	-0.24147068	-0.18841012	0.09349047	0.00045301544	-0.018874865	-0.28716114	-0.21264017	-0.103386424	-0.14512503	0.2177522	0.07137922	-0.24219283	-0.04985054	-0.106206365	-0.14141816	0.11250699	-0.110001065	0.30509925	-0.21891122	-0.11920276	0.2248891	-0.16232325	0.19822341	-0.13510486	0.28817454	0.10288108	0.08004706	0.38689718	0.024072388	0.09619142	0.057164904	0.05586675	-0.061289545	-0.10270944	0.065009624	-0.2996673	-0.0740385	-0.17952646	0.44984618	-0.17198364	0.04230857	-0.15888083	-0.3276407	-0.008989699	0.3501651	-0.66870064	-0.08305853	-0.03352834	-0.19157544	-0.1504936	0.203988	-0.13779026	-0.16800818	0.31070042	0.08336565	0.20918436	0.1261262	0.08764744	-0.08387675	-0.012826948	0.14798045	0.091237426	-0.09681106	-0.13830619	-0.14419447	-0.07267608	-0.21860653	-0.11815332	-0.004299688	0.036554266	0.00016267531	0.18425374	0.08109969	-0.09798586	-0.085538626	-0.4377801	0.07510086	-0.31710038	0.14840962	0.16926013	-0.15354484	-0.18182729	-0.2449772	0.13188066	-0.2812613	-0.025251525	0.047800075	-0.12521987	0.24528232	-0.017158128	0.1310669	0.13131575	0.12413241	-0.25441235	-0.19462143	0.37089872	0.34244344	0.14627701	0.13277996	-0.08418231	0.06390299	0.1512926	0.2445002	0.25994274	-0.26266173	0.22792329	-0.016125558	-0.30107805	0.5422209	-0.08068512	0.22130632	0.3018646	-0.013288225	0.39085785	0.15946686	0.14072122	-0.0037413468	-0.15899819	0.36234894	-0.03645449	-0.03928043	0.08452303	0.08483497	-0.1651907	-0.06878506	0.17773627	-0.4505843	-0.01760734	-0.058856092	0.24511857	0.27958697	-0.22514325	0.1489991	-0.2403446	0.002892116	0.051322132	0.3040559	-0.25578576	0.21638963	0.21096675	0.13969842	0.24729209	-0.38890597	0.09951739	-0.08136495	0.34742516	-0.17764126	0.17198905	0.05814792	0.10011868	-0.14581107	-0.15676558	-0.020993704	0.48286763	-0.3128981	0.34558323	0.00885424	-0.09885511	0.44366726	-0.036527034	0.271912	0.06202579	0.1843297	-0.4583597	0.09160224	-0.24932823	-0.2663479	-0.22331436	-0.084374525	-0.23130578	-0.12743558	0.010230603	-0.19707891	-0.22111127	0.021232335	0.023993192	-0.37914896	0.17584677	-0.09291861	0.118749775	-0.27980042	0.004318268	-0.053014193	0.1189381	0.009560545	-0.12857439	0.034886654	0.026151862	-0.28062034	0.07333306	0.13952118	-0.033559628	-0.17653638	0.070914485
ABCA1	-0.056907486	0.1337972	0.19741972	0.0010106292	-0.061334956	0.3446994	-0.2062539	0.025532957	-0.09672715	-0.056395315	-0.339548	0.12653461	0.2952334	0.24815404	0.09703119	-0.09420797	-0.62955385	-0.41411597	0.13729572	-0.03906129	-0.5138616	0.020255782	-0.2251488	0.35132217	0.5621902	-0.3597808	-0.2387264	-0.3533586	0.01160404	-0.35484278	0.15523021	0.36882415	0.08166995	0.07809102	0.3177141	0.06451163	0.13635758	-0.06635021	0.19989301	-0.6461511	0.2008205	-0.4022499	0.27826273	-0.3058741	0.27786857	-0.109968804	-0.37800142	-0.36735207	0.2835742	0.07322058	0.23886624	-0.07169135	-0.21105063	0.30811676	-0.04275995	0.29976696	0.01550905	0.12611178	-0.14531967	0.3932617	0.37052763	-0.014989227	-0.012092936	0.09616648	0.035594523	-0.22141406	0.1913525	0.11390788	-0.14781685	-0.30666694	0.07274347	-0.18927051	0.10295758	0.10629107	-0.16715464	0.00358128	-0.11442128	-0.28481504	-0.22252446	0.27652833	-0.08878007	-0.06866711	0.061751533	-0.0936802	0.07571447	0.0010745176	-0.08937477	-0.0054437565	-0.0751339	0.19050676	0.16838701	-0.12622125	0.070788465	-0.06305273	-0.12174359	-0.31199324	-0.11792955	0.19814317	-0.2188185	-0.17994995	0.053104818	0.3411804	-0.082345985	-0.2029259	-0.15688057	0.15569815	-0.005963893	0.24131913	0.19204044	0.28261927	-0.115645364	0.26918843	-0.19585592	0.29405612	0.68253136	-0.08550931	-0.037697487	-0.11811417	-0.30083615	-0.038865305	0.1325759	0.48254392	0.13630311	-0.031916447	0.16001855	-0.10781974	-0.066929005	-0.26396427	-0.03093088	0.22330014	0.07871879	0.33443016	-0.33144486	0.10334242	-0.5577348	0.09569883	-0.34319466	-0.33880746	0.25706956	-0.34174776	-0.29098862	0.60263115	0.20213397	-0.15225834	-0.024315177	0.3795308	0.21629795	0.11761658	0.35008863	-0.37181523	0.07759432	0.6067823	0.07705869	0.07530585	-0.39706326	-0.3033095	-0.6193873	0.010751398	-0.37464124	-0.08185958	0.12819786	0.47400498	0.17827378	0.25311592	0.5627966	-0.075201586	0.12427435	-0.21307607	0.48021638	0.289876	-0.38365978	-0.43023974	-0.10705646	-0.24218059	-0.26773688	-0.27729625	-0.16163623	0.01220861	-0.042336326	0.10574398	0.03103686	-0.09975732	-0.30566382	0.45383573	-0.41768828	0.17820841	-0.45014226	-0.18908183	0.524926	-0.14197706	0.67837214	0.1310623	-0.0008797023	0.40580997	0.05800691	0.02074463	0.13668889	0.17562512	-0.33939433	0.25594407
ABL1	0.077222615	0.010567042	0.49120882	0.08453061	0.1352175	-0.36644703	0.21963976	-0.28907734	0.3616892	-0.027663654	-0.32640556	-0.67248726	-0.013874785	0.4027337	-0.18955551	0.13184707	-0.19340967	0.005127567	0.3223052	-0.12774771	-0.26784095	-0.23760702	-0.1761352	-0.08372493	0.16124214	-0.23042326	-0.16921756	0.18545349	0.27697757	-0.45020702	0.14332825	-0.010351959	-0.3158752	0.18547904	-0.17635547	-0.034472197	-0.61996514	-0.2436418	-0.4462717	0.047469232	0.17549033	-0.15186435	-0.13398555	0.15351996	0.1806928	-0.15939604	-0.07003373	0.060750697	0.016502347	-0.073646195	0.47581252	-0.024733474	-0.024310917	0.066477634	0.13262306	0.15558901	0.06409871	0.15950066	0.23559141	0.04442555	-0.09795736	0.088881165	0.0821732	-0.14010245	-0.4631217	0.019241862	0.18341272	-0.07950087	-0.05923932	-0.029517448	-0.21886928	-0.35029852	0.35525495	-0.1675351	-0.05617624	0.3475753	-0.5189654	0.45430642	-0.34772104	0.17574254	0.3234567	-0.04956229	0.07580786	-0.13794525	-0.18828838	-0.3711408	0.045857437	0.0094032325	0.12735687	0.07295776	-0.178105	-0.119198546	-0.40881753	-0.17600653	0.20846957	-0.538574	0.102467164	0.006495878	0.04267914	-0.2545014	0.30963078	0.22042225	0.14655593	-0.32934427	0.20461793	-0.42036816	-0.084135026	0.019470116	0.2973281	-0.19047159	-0.061686885	0.12842548	0.12601824	-0.5257321	0.30548096	0.092969306	0.048305653	0.028759386	0.47627333	-0.4874174	-0.32322845	0.10267684	0.44721946	-0.003017743	0.21560754	-0.19547632	-0.058964945	-0.063799925	0.034994245	-0.5228408	0.0025307247	0.22968143	-0.2643752	0.3372848	-0.115248844	0.21984792	0.39888552	-0.18511985	-0.019634089	0.08643923	0.027561003	0.08616924	0.07876599	-0.061241783	0.051309004	0.054775763	-0.20325704	0.017629761	0.028839976	0.13972156	0.2638785	0.20342138	-0.24937703	0.018982207	-0.5069342	0.06569573	0.017010463	0.13219172	-0.18089612	-0.0098656	-0.07272793	0.2639089	-0.39009273	0.26037982	0.20327125	0.087238565	-0.037753344	0.010188061	0.13158073	-0.32848898	0.06890299	-0.6687345	-0.5699961	-0.15155236	-0.4580031	-0.0047633005	-0.44890904	0.07367262	0.02492374	-0.0779831	0.33562666	0.042669278	0.17236069	-0.12223346	-0.06545087	-0.07729237	-0.2937004	-0.01700314	0.158987	0.098575465	-0.007543854	0.047329046	0.12043513	0.2301664	-0.23208533	-0.023402382	0.04746411	-0.06636092	-0.35668224	-0.16505672
ACE	0.03638522	0.17327532	0.23036559	0.07921908	0.13033716	0.3319448	-0.19368203	0.08252036	-0.07929268	0.31085852	-0.13605583	-0.0038593188	0.11721106	-0.31042856	-0.05825362	-0.2631862	-0.16518007	-0.25096756	-0.22380763	-0.5570693	-0.11993968	0.15506561	-0.1567717	-0.28532708	0.14467523	-0.7386235	-0.12941453	-0.25343138	-0.18698137	-0.070728295	0.20662135	-0.44363707	-0.28060126	0.21812238	0.46426955	-0.06581959	-0.46441415	0.15204437	-0.037429094	0.0015839932	-0.41776118	-0.095896505	0.07211777	0.3381846	0.13897833	-0.25975057	-0.035193156	0.013416303	0.29649532	-0.5950176	-0.27355105	-0.007934083	-0.6843662	-0.53953886	0.082752444	0.23805168	0.17147402	-0.35327435	0.04628594	0.36842152	0.16634108	-0.033688817	0.08070638	-0.22507523	-0.05696535	-0.3314746	-0.13215166	0.15254979	0.26018688	0.043632712	0.30973822	0.3094435	0.22217917	-0.39446217	-0.15990594	-0.015755927	-0.24203253	-0.04491016	0.16317023	-0.15401474	0.02276542	0.17419006	0.0018330605	-0.31075704	-0.02926823	-0.23353101	-0.07377191	-0.33894357	0.16523202	-0.13120091	0.03892205	-0.2599635	-0.2677775	0.17530243	0.20543782	-0.23991215	0.008113613	-0.24417438	-0.10802903	-0.045331463	0.00039581113	-0.24057053	0.06896695	-0.37940904	-0.19656219	0.067453	-0.10628159	-0.0021015082	0.26469618	0.50217056	-0.047023293	-0.29630727	0.21165597	-0.4606724	-0.19981074	0.20850658	-0.43688202	0.34536514	-0.068189025	-0.11208658	0.08683249	-0.033663485	0.003946661	0.28617102	0.20296444	-0.20585167	0.23171373	-0.032759126	-0.5267415	0.29127333	0.05993957	0.44112474	0.02589559	-0.074776016	-0.41702062	0.06268214	0.29546762	-0.123538956	-0.0038426688	-0.07012869	-0.20926595	-0.33963192	0.02082501	-0.17298025	-0.15798835	0.12629837	0.26648104	-0.33970147	-0.520419	-0.023082906	-0.07717843	0.1501202	0.28623748	0.06516452	-0.1362276	-0.3792604	-0.11477888	-0.7905027	-0.10303921	-0.010262571	-0.28299725	0.031119913	-0.14188944	0.08227211	-0.0042335237	0.389066	0.36710197	0.2525942	0.28314131	-0.2926937	0.28908685	0.28142712	0.22491145	0.25238633	0.23011303	0.082915254	-0.10138213	-0.3464561	-0.05338448	-0.15415387	-0.41096398	-0.09963956	-0.22269428	0.10603185	0.027015163	-0.42999867	0.22254734	-0.064329416	0.12828645	-0.024432395	0.06449517	-0.11530932	0.17480029	-0.15640897	-0.080724716	0.09657301	0.11859116	-0.06542403	-0.18085667	0.22797216
ACHE	-0.026483878	-0.249057	0.12046543	0.15882821	0.18679452	-0.119518794	-0.09277005	-0.19508791	-0.23386599	0.12804504	-0.061642163	-0.38634387	-0.03130241	-0.039197613	-0.028218979	0.15019539	-0.06949649	0.286233	-0.20302214	-0.2788366	-0.23238862	-0.3273568	-0.008177814	0.029193765	0.2569399	-0.38964453	0.1665672	-0.022487171	-0.045085236	-0.0009411899	0.37503687	0.083384305	-0.20848764	0.123571225	-0.08422334	0.1128743	-0.13502334	-0.03452373	-0.054450553	0.09782133	0.15324983	-0.09412825	-0.020348607	0.12762558	0.467513	0.14476949	0.115655355	-0.11641466	-0.046575442	0.025408491	0.13555534	-0.13794151	-0.30200562	0.008929455	0.5417738	0.14952506	0.18587153	-0.20700993	0.00016833626	0.014258221	-0.049409833	-0.11932189	0.0035726875	0.14488174	-0.1134915	-0.12557578	0.12802432	-0.18032415	-0.028786883	0.038281716	-0.016415207	0.066515565	0.21934	-0.18901882	0.21315135	-0.036727134	-0.1332368	0.42374098	0.2642084	-0.41019365	0.18556139	-0.13351126	0.06997882	-0.13188426	0.059434358	0.15973175	-0.20254886	0.0511775	0.2540136	-0.20807736	-0.31555226	-0.13884985	-0.15792078	-0.09443664	-0.3359695	0.030553631	0.2296134	-0.32401648	0.06621138	-0.40511924	-0.41068792	0.15811406	0.14806072	0.0013752739	0.10779798	-0.1329316	-0.0659918	-0.01721804	0.21587116	0.062156238	0.0596119	0.014250984	-0.13364278	-0.24877183	0.24836269	-0.2576454	-0.10852991	0.39070526	-0.072506204	-0.3709809	0.19801664	-0.103314	-0.020844556	0.04590689	0.2782136	-0.082742155	-0.24582767	0.035142254	0.073616065	0.13780093	0.0025485798	0.21902831	-0.050995983	0.051875092	-0.21898912	-0.10771331	0.30361465	-0.3234058	0.033509426	-0.39255974	0.18125665	-0.30387288	0.034183	-0.2761242	0.05468433	-0.06208902	-0.07498135	0.20847474	0.1874501	-0.039555393	-0.20955765	-0.19146815	0.15321383	0.15287487	0.08395041	0.039583273	0.0074678524	-0.088790774	-0.047146305	0.2708493	-0.24298391	0.2950845	-0.18984683	0.10095637	0.32505724	0.23102573	-0.054286435	0.107267916	0.13090308	-0.12736176	-0.036894206	-0.17058036	-0.29104045	-0.21688183	0.17529581	0.33155677	0.1240832	0.18946066	-0.13010132	0.27855125	0.054390866	-0.025603488	0.13535571	0.12792869	-0.24810617	-0.3334377	-0.24176382	-0.041107178	0.23492381	0.14323573	0.39019558	0.023261275	0.05066556	0.19089185	-0.27281085	-0.068406016	-0.0079987375	-0.3212871	0.05736263	0.1845288
ADA	0.15463857	-0.10538642	0.29925972	0.08630677	0.122294284	0.2135273	0.02583523	0.01008264	-0.39326555	0.06348295	-0.022487454	-0.16645384	0.07653698	0.07653316	0.17006105	-0.047726426	-0.218294	-0.11863919	0.1736411	-0.17235291	0.37283307	0.07340405	-0.26743945	0.18212149	-0.27771255	-0.55036896	0.2663096	-0.23864248	0.12573649	-0.2621946	0.49186555	-0.18442051	-0.22001196	-0.23158926	0.4460049	0.26034856	-0.2206723	0.02851007	-0.10991341	-0.14194947	-0.19594385	-0.06241188	0.18693186	-0.15417628	0.2450226	-0.07486523	0.043880202	-0.034128666	-0.1190964	-0.14718445	-0.2321397	-0.07827737	0.19537099	0.15640713	0.020920826	-0.052073285	0.13254936	-0.030787325	0.24703267	-0.16681725	-0.22573015	-0.10125463	-0.21099451	-0.04686119	0.012366312	0.041379675	-0.015294551	-0.0629935	0.18797243	0.32913163	-0.13107896	0.45184562	-0.116369374	0.07439177	0.11701011	-0.19887346	0.19790353	-0.059112716	0.08290138	0.2129311	0.05401602	0.058150325	0.16430533	0.012830705	0.24583405	0.060951296	-0.053199533	-0.1526903	0.29332682	-0.17857419	-0.22183435	-0.31663215	-0.23574115	0.14418544	0.14533338	-0.095437594	-0.2319977	-0.29924506	-0.55038154	-0.3564007	-0.07500951	0.35948524	-0.36786667	0.1996706	0.53687346	-0.031159522	-0.027263416	0.17282142	0.095091514	0.12248257	0.00048364012	0.04078756	-0.19893913	0.14836253	0.129963	-0.2087912	-0.04799711	-0.025677828	-0.100386575	-0.0814477	0.38578534	0.06011493	0.03003869	0.06074312	0.1845676	0.24076644	-0.034535807	-0.31973627	-0.066932015	0.12820518	-0.10362582	0.015178838	-0.1597856	0.03675493	-0.31085837	0.48338872	0.1473569	-0.11213179	0.20392522	-0.1471959	-0.17043568	-0.26695397	0.13658676	-0.039177697	0.33015665	0.013850055	-0.23398447	-0.21823327	-0.30397546	-0.13126384	-0.3585098	-0.061547622	-0.041561525	0.18184578	-0.30941236	-0.19661751	0.033640593	-0.33453417	-0.050342564	0.07128439	-0.38842964	0.3262693	-0.00506686	-0.039507244	-0.056392465	0.31588453	-0.13361499	-0.24063331	-0.12908354	0.081848614	-0.037288804	-0.16448128	-0.1794964	0.07273393	0.31144822	0.15874088	0.3679287	0.3937026	-0.18867175	-0.024493426	0.31958824	0.04185322	-0.12414974	0.12008731	0.048265412	-0.15277037	-0.21571134	-0.085170604	0.22995259	0.13720788	0.07157058	-0.19899264	0.10368426	0.112661526	-0.35010988	-0.10047996	-0.094233185	0.085133806	-0.06274028	0.4536579
ADORA2A	-0.09703371	0.2191614	-0.064514145	-0.16772386	-0.0053560077	-0.10946986	-0.38950145	-0.16474022	0.047116145	0.20125638	0.09210375	-0.24096526	-0.072405964	-0.08235224	-0.0893316	-0.26780307	-0.33559242	-0.46770388	-0.109486036	-0.12260291	0.2664949	0.21130346	-0.23279893	-0.020556197	0.24598722	-0.7437118	-0.15655288	-0.03901482	0.33706853	-0.5269575	0.3429971	0.07344312	-0.24414794	0.29752654	0.32880822	-0.08599977	-0.2067663	0.22863546	-0.26456514	0.22009201	0.27760684	-0.18144117	0.35427892	0.3761571	0.34677064	-0.1646635	-0.12013485	-0.32678097	0.034968603	-0.024340523	0.007836242	-0.21377702	-0.26940674	0.06828313	-0.20653158	0.1516498	-0.38531855	-0.05057303	-0.55043554	0.40577027	0.15169178	-0.1701451	0.01730836	0.0465052	-0.15725687	-0.14954546	-0.096115015	0.47574618	-0.0031456153	0.41322663	0.33958885	0.010426452	-0.07509168	-0.33931398	0.016094552	0.11935837	0.2034819	-0.07673406	-0.25499475	0.16148695	0.13268913	0.08562403	-0.30804095	-0.62846607	0.16167317	-0.15930988	-0.36365932	-0.026351279	0.19768496	0.24024516	-0.09090014	-0.059485964	-0.13905853	-0.14515166	-0.027730502	-0.40558502	0.14472939	0.018061467	0.36518747	-0.28710422	-0.15632948	0.3252931	0.3134948	0.10456507	-0.24146895	-0.002076915	0.20017189	0.031968184	0.31739277	0.17685977	-0.514443	0.3936319	-0.24265073	-0.19200459	0.41711435	-0.13477723	-0.02444311	0.19051859	-0.26326543	-0.04017554	-0.07966656	0.07715244	0.11917179	-0.0051395413	0.21324919	0.21939525	0.2475635	-0.21221218	0.046879094	-0.24577625	0.0574856	0.32717487	-0.17551374	0.06947032	-0.18806523	-0.03734306	-0.16918087	-0.4837343	0.21272604	-0.39308658	-0.13976988	0.18119672	0.02808162	-0.0076143146	0.13732678	-0.021082217	-0.13836984	0.3175606	-0.33462945	0.032126088	-0.14176707	0.39507174	-0.06018249	0.1707282	0.011722861	-0.11404539	0.07925834	-0.0014616876	-0.39077252	0.2824486	-0.071266964	0.5642762	-0.40095747	0.25236896	0.3604231	-0.074205235	0.27482808	0.21894872	-0.047525264	-0.30621728	-0.19010597	-0.25212044	-0.047808673	-0.3710682	-0.089281835	-0.06908917	-0.3893935	0.14693777	0.08866834	0.091456145	-0.23407221	0.26912296	-0.06989358	0.3164418	-0.2878483	0.0005143577	-0.30524123	-0.15104553	0.26869285	-0.1580972	0.037540987	-0.5075171	0.07399199	0.45700967	0.08834028	-0.07422739	0.27993897	-0.060712975	0.08461273	0.31783652
ADRA1A	0.018416423	0.064756624	0.088763796	-0.16746706	0.13268329	0.034683242	-0.12911774	-0.047439564	0.23813957	0.21471518	-0.031338204	-0.2093093	-0.22016141	-0.057451252	-0.24479607	0.08399743	-0.15361561	-0.15364878	-0.05845878	-0.2519042	-0.1462194	0.14225447	-0.05010054	0.11243309	0.2357702	-0.39358813	-0.05132966	-0.09273749	0.347504	-0.3495877	0.36340806	0.04991723	0.022397162	0.4525468	0.06377008	-0.030230014	0.16563265	0.05168629	-0.29733256	0.028777324	0.26941815	0.09852894	0.28272265	0.24227159	0.26706237	-0.17053658	-0.24677198	-0.22838497	0.03372173	-0.023721823	0.0726625	-0.11573839	-0.24047299	-0.17807843	-0.18974455	-0.01670901	-0.25526655	-0.24225427	-0.08586469	0.53597146	-0.0540813	-0.111630626	0.062761724	-0.071508035	-0.14665803	-0.16590169	0.395313	-0.09077668	-0.20206653	0.16169696	0.07259802	-0.13670045	-0.09935844	-0.1319529	-0.25847703	0.02793138	-0.022023229	0.0027119198	-0.092067316	-0.056636926	0.14776365	0.03234534	-0.31596524	-0.43407145	0.114550576	-0.6334741	-0.25991744	0.06772307	-0.10954729	0.056526847	-0.1640335	0.11549402	-0.24859548	-0.30660692	0.15234712	-0.19418593	0.15861855	-0.04174203	0.23535164	-0.06218064	-0.183649	0.2330723	0.12818955	0.14909108	-0.085300766	-0.17674561	0.08926998	0.082967535	0.13798892	-0.13729884	-0.21563315	-0.044188417	-0.08701754	-0.054978237	0.24389185	-0.09892436	-0.27363598	0.41707885	0.08008576	-0.35414848	0.03708802	-0.0037270854	-0.013960561	0.16221827	-0.032595094	-0.08325385	-0.27674446	0.00067152106	0.05952468	-0.22076716	-0.04866871	0.29622266	-0.23642364	0.09683908	-0.18966967	0.15020487	-0.02102755	-0.45911157	0.17659265	0.0057051578	-0.34730026	0.10237537	0.22415999	-0.17359966	0.30872217	-0.08901605	0.06308428	0.25527334	-0.056756996	0.29427958	0.05135388	0.108255304	0.03327302	0.06891282	-0.16723025	0.057218105	-0.16918154	-0.025658429	-0.060828336	-0.035710108	0.05657187	0.33556533	-0.4023197	0.18859373	0.21621193	0.04089149	0.41157526	0.37583557	0.011848696	-0.34608042	-0.25336483	-0.22151504	0.1262564	-0.2651704	-0.053963847	-0.16210027	-0.08413285	-0.09103583	-0.18995391	0.05327078	-0.21950582	0.21696675	0.016798241	0.12977849	0.16382867	0.12225016	0.06249577	-0.09301048	0.07121396	-0.18216984	0.41793248	-0.30198452	0.12008823	0.16887179	-0.008499517	0.18786007	-0.19959302	-0.03536487	0.024815029	0.06982876
ADRB2	0.04028801	-0.2283851	0.2154077	-0.48323822	0.0333354	0.031172084	-0.039330475	0.062327247	-0.08599692	0.20171499	0.018944664	-0.47748575	0.19384803	0.3039463	0.0067833723	-0.20060146	-0.062793806	-0.26804867	-0.008011328	-0.37957343	0.05825071	0.38210782	-0.5985871	0.032400593	0.32263786	-0.7330661	0.014696183	-0.17539005	0.2308013	-0.46749264	0.5252154	-0.053538408	0.074253455	0.26819715	0.13879934	-0.1321314	-0.08224863	-0.0527126	-0.182877	0.25779957	0.23417415	-0.20652331	0.58891124	0.2923735	-0.07479097	-0.758261	-0.34400818	-0.14941967	-0.11757909	-0.025826702	-0.18334116	-0.101214774	-0.054694403	-0.19596149	-0.51686984	0.18762937	-0.42393988	-0.17995484	-0.21728075	0.73210067	0.098600365	-0.016140893	0.1263031	-0.06205923	-0.08086596	-0.17033957	0.08895934	0.2972757	0.10660863	0.39240175	0.2784636	0.025679646	-0.30370155	0.0045115636	-0.3933607	-0.30546096	-0.07090046	-0.25097102	-0.18980877	0.088308394	-0.14325681	0.025219904	-0.40368602	-0.50515544	0.19297671	-0.44134006	-0.50238395	0.04793699	0.25693977	-0.08534041	-0.10561321	0.30006465	-0.4472367	-0.37623304	0.4806245	-0.13791203	0.27850756	-0.31650147	0.31047443	-0.15133391	-0.33957016	0.3775807	0.17315157	-0.086797625	0.11410309	-0.15881778	0.16010825	0.06709011	0.25649568	0.0008179966	-0.2963901	0.10264837	-0.0181193	-0.0837728	0.3521984	0.053694237	-0.12162768	0.43443102	-0.24872357	-0.2906527	0.20238385	0.10415611	0.06041977	0.15063408	0.053404078	-0.29005313	0.25023302	-0.5014743	0.22687642	-0.19734643	-0.034169625	0.10320208	-0.5872157	-0.027298681	-0.11938273	-0.043091338	-0.07232623	-0.3126642	0.42175227	-0.27495855	-0.16167015	-0.06709947	0.3751507	0.08570041	0.16188428	0.1883411	-0.048292525	0.22941604	-0.35883793	0.18328059	0.068187974	0.5197862	-0.0023316003	0.34160134	-0.16831948	-0.21434098	-0.021067116	-0.41076764	-0.34626716	-0.04343279	-0.31586424	0.55801296	-0.5269744	0.44401515	0.34469122	-0.014249149	0.33389655	0.32702222	0.1946158	-0.485399	-0.19003148	-0.31556135	0.2180727	-0.5441425	0.10079801	-0.14679366	-0.15597276	-0.30006415	0.06945753	0.29376173	-0.18411529	0.062093787	-0.25298527	0.19068886	-0.087406956	0.104885936	-0.022644823	-0.05915535	0.61256963	-0.3822085	0.15393895	-0.30854344	0.20752479	0.102431916	-0.059309334	0.15898006	-0.09076012	-0.12354259	0.049759258	0.5239645
ADRB3	-0.031757377	-0.22190887	0.07228108	-0.36265838	0.034588274	-0.1568264	0.1378462	-0.06389317	0.13959081	0.34380302	-0.15429953	-0.2705644	0.014671798	0.59024054	-0.01973447	-0.021787284	0.037705753	-0.18955065	0.06226011	-0.5042236	0.21477443	0.3393214	-0.46103558	0.012650722	0.34069958	-0.80675226	-0.24510936	-0.17519112	0.2915774	-0.39884722	0.3438086	-0.0021321888	0.0012722492	0.05502766	0.34782657	0.22772881	0.064515404	0.0053197118	-0.35848102	-0.11185168	0.15749371	-0.382268	0.13882461	0.15943101	-0.049463607	-0.61521345	-0.27079457	-0.20742261	-0.2064513	-0.2581063	-0.082713164	0.08888276	-0.03397361	-0.025405182	-0.42169997	0.44226092	-0.575114	-0.60653853	-0.30463174	0.49149573	0.0056080213	-0.18490852	0.49299726	-0.06285188	-0.05065971	-0.12842388	0.41145575	0.28915054	-0.15693505	0.123323366	0.39479274	-0.09106013	-0.5902687	0.13515028	-0.4844471	-0.13182157	-0.0041966145	-0.25577182	-0.088481314	0.041125994	-0.03433225	0.08055475	-0.48229274	-0.7494348	0.2634871	-0.70975155	-0.16454497	0.05628003	0.4311248	-0.28342548	-0.17474891	0.08565673	-0.38136157	-0.27513662	0.15506439	-0.41624376	0.4513237	-0.48634875	0.38167164	-0.085522905	-0.24317756	0.58570176	0.20640294	0.10354558	-0.19960815	0.026976913	0.38188818	0.16505323	0.7742978	0.15142693	-0.42776015	0.026540155	0.2186442	-0.16218778	0.47835568	-0.17009598	-0.23617995	0.5886821	-0.32772806	-0.6467235	0.056164265	0.059121564	0.060248245	0.36308455	0.057415586	-0.25374937	0.5701767	-0.2851722	0.28286827	-0.07730054	-0.06995714	0.08624568	-0.34623393	-0.08599523	-0.24312662	-0.19782081	-0.3471478	-0.113103725	0.5762103	-0.22971755	-0.41010502	0.034766372	0.13894461	-0.0243469	0.22434078	0.14362925	0.05415898	0.004856581	-0.18914026	0.16543786	-0.21481964	0.49576795	0.14803572	0.2538174	-0.4398711	-0.4240378	-0.29428366	-0.27413076	-0.24706188	-0.07241201	-0.31624052	0.2783556	-0.6169061	0.23360236	0.335548	0.08180261	0.4943184	0.5606009	0.102512635	-0.5954021	-0.19302407	-0.30163652	0.41644207	-0.2119419	0.19989242	-0.1147644	0.2101291	-0.55283207	0.15963726	0.36022198	-0.46947563	0.3136965	-0.4272085	0.32722092	0.090051815	-0.099018	0.32952142	-0.14806026	0.23360664	-0.34385332	0.48372352	-0.4782378	0.35626537	0.1464793	-0.2965919	0.108816095	-0.15082312	-0.07798838	-0.053934284	0.27604768
