	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199
2-mercaptoethane	-0.06843713	0.29688862	0.015993094	-0.26916295	0.49483287	-0.027179142	-0.17783104	-0.015855992	0.44045046	-0.0763017	-0.07709787	-0.07055026	0.07729237	0.21330103	0.09022209	0.16916482	-0.2839787	-0.031716246	-0.111817524	-0.23979397	0.2512801	0.024656132	0.24253008	-0.094375044	0.32358074	0.05606874	0.16252482	0.46161973	-0.016207619	-0.33620864	0.10053984	-0.007145413	-0.36452118	0.07037012	-0.15395212	-0.3417602	-0.21081081	0.14313069	-0.2575606	-0.052007567	-0.23871666	-0.13713641	0.044234883	0.16789499	0.22760032	0.155833	0.079009674	0.6657269	0.21477203	-0.30033875	0.3872119	-0.06989034	-0.14125244	-0.2115711	0.008203948	0.018246992	0.38045475	-0.65086186	0.17981881	0.2581711	0.09037979	-0.07953018	0.18355648	0.014413302	-0.61091346	0.028358785	0.21092132	-0.0031825763	0.10343412	-0.36647028	-0.10051695	-0.16709279	-0.10662317	-0.41847995	0.2760001	-0.3071694	0.25212744	0.1971812	0.19965886	0.17623505	0.11143944	-0.21880847	0.32366735	0.065700985	-0.3597926	0.3191226	-0.29686505	-0.18439004	-0.08718642	0.34379375	-0.4472601	0.3999188	0.31726936	0.26537997	0.23814747	0.006681719	0.15243681	0.047479197	0.07553396	-0.076283544	-0.10754985	0.24464372	0.14708868	-0.1359934	-0.25404787	0.44277012	0.2595229	-0.29485956	-0.36442894	-0.19376482	0.010062774	0.14132877	-0.08360759	0.25856006	0.44443545	0.15687703	0.20292458	0.27289325	-0.10122809	-0.118280165	-0.05259889	0.04260425	-0.041171916	-0.36731863	0.7749688	-0.14148064	-0.025561903	0.11096946	-0.067060456	-0.3207982	0.2891275	-0.11661945	-0.032080375	-0.39308316	0.079828255	-0.1507719	-0.12129767	0.1819794	-0.11496313	0.14353654	0.13690063	-0.3266734	-0.21545097	-0.20624557	0.095919095	0.1680332	-0.35189116	-0.13360323	0.24343894	-0.14611153	-0.07599016	0.39210182	-0.28267086	-0.045734193	0.8353649	0.070721276	0.006413639	0.23853227	-0.3128617	0.5930675	-0.046710357	0.49741665	-0.1730402	0.07729416	-0.20512918	0.41742948	0.42809874	0.26066732	0.12520209	-0.31011173	-0.51241654	0.43345279	-0.17459172	0.6874777	0.22486115	-0.41038284	-0.16546223	-0.17571974	-0.022636801	-0.32162917	-0.11762975	-0.54539347	-0.2581096	-0.51057446	-0.43626434	0.2523466	-0.19928238	-0.22546935	-0.5405245	0.21888587	-0.027471686	0.11996674	-0.074505426	-0.3258709	0.30614662	0.0884003	0.035131045	0.033540342	-0.12307961	0.38636416
5'-phosphate	0.23615114	0.058918826	-0.06705726	-0.1967291	0.46442914	0.039194487	-0.7221156	-0.071847156	0.25275186	-0.23209958	-0.42678156	-0.19598089	-0.2939877	0.0068153506	-0.4034245	-0.27734607	-0.50915164	-0.076496065	-0.0074612233	-0.21695298	0.02612766	-0.01639618	-0.09609067	0.6368035	0.2652294	-0.15114531	0.12406418	-0.083691545	0.014651532	-0.2395683	0.47664782	-0.46820217	0.10770204	-0.18003695	0.1005932	0.55549043	-0.019586131	0.43526396	0.44616687	-0.3062891	-0.24719824	0.37669334	0.07467409	-0.5051763	0.017014539	0.16423772	-0.43783006	-0.042555317	-0.28163072	-0.08845224	0.015459933	0.011011854	-0.17598356	0.07336872	-0.074250065	-0.28412694	0.540769	0.014300916	0.17471173	-0.18845153	0.039988294	-0.056115188	-0.44942078	-0.35885847	-0.20235479	0.29394886	-0.51015335	-0.11940083	-0.106223874	-0.7657282	-0.074558094	-0.479898	-0.070712455	-0.2981137	0.58733106	0.55178225	0.148512	-0.13835493	0.039330255	0.55760777	-0.07517083	-0.23343632	0.18721922	0.19655499	-0.036603183	-0.12526946	0.09862406	-0.24753273	-0.09287096	0.45007062	-0.11092328	-0.0732004	0.4664439	0.1613462	0.0126166865	-0.30302808	0.0498537	-0.3316896	-0.61703897	-0.2607993	-0.22528711	0.5763474	-0.036176562	0.07571249	0.095005654	-0.021107396	-0.4980551	-0.048581753	0.1692777	-0.16245595	-0.08756841	0.06517514	-0.13858454	-0.1326578	0.1977257	-0.047984853	-0.53406465	0.40481222	-0.039315365	0.035113573	0.0018670893	0.0582389	-0.095382504	0.39550507	0.20014565	-0.5054297	-0.03493722	0.14092709	0.29459688	0.41825667	-0.67137474	-0.008428902	0.15452017	0.48844177	-0.06602646	0.385817	0.09589258	-0.34308076	0.5200752	-0.19543085	0.019212553	-0.18154941	0.48115754	0.010392097	0.17828055	0.4176097	-0.25115544	-0.15541548	-0.6657775	-0.6161064	0.051017977	-0.73833776	-0.4811813	-0.59649867	0.79072374	-0.33293658	-0.18197308	0.35738686	0.43762934	-0.18079513	0.12849379	0.03359099	-0.7124763	0.2293971	-0.18316992	-0.12511556	0.18096091	0.18842414	-0.4779102	-0.4137849	-0.02367047	-0.16436356	-0.8654839	0.20071726	0.25055003	-0.20072278	-0.26581174	0.41388726	-0.35130173	-0.02173535	0.3278826	0.08810134	-0.2799817	-0.30007067	0.13192707	-0.12052128	-0.11721656	0.29858914	-0.5101063	0.9067245	-0.10620855	0.04896378	-0.114308335	-0.22547017	0.1510577	0.24273592	-0.2591156	-0.07416146	0.072838664	0.054318056
90	-0.18281592	-0.0436537	0.2600334	-0.046224743	-0.14248888	0.057017826	0.20740505	0.078858875	0.010487674	0.31693813	0.026705844	0.11574735	0.15659316	-0.12296208	0.026375968	-0.123729035	0.17745872	0.20798734	0.0028557926	-0.061013427	0.112997875	0.19272296	-0.11252949	-0.2283629	0.045051023	0.06930169	-0.15112403	0.3595467	-0.121254906	0.02031303	0.12152217	-0.008231923	0.026971526	-0.35698685	0.37872908	0.023384834	-0.02125757	0.19260482	-0.06623701	0.0027404479	-0.043371335	-0.13622223	0.23579493	0.065404095	-0.0918083	-0.05099855	0.025191866	-0.18293212	0.08446612	-0.015423259	-0.10172377	0.023677852	-0.25332722	-0.20007987	-0.026730055	-0.20955291	0.098896496	-0.021048995	0.1727931	0.037547253	-0.28635445	-0.107234135	-0.051066607	-0.15129419	-0.08676379	-0.020232372	0.04751195	0.011758022	-0.03818176	-0.3019166	0.033209816	0.115907334	0.08339243	-0.03912638	0.081633486	0.08342382	-0.17701676	-0.1352623	-0.18582991	0.021532701	-0.18519887	0.06761549	0.11738088	0.08060437	-0.05455875	-0.0065640784	-0.28292993	0.019788422	-0.021397172	0.09803116	0.11558028	-0.35744932	-0.3476565	-0.09068614	0.20431148	0.14069499	0.14655803	0.1567888	0.073594786	0.1637567	0.31649676	0.061358236	-0.046514157	0.09927144	0.04583199	0.031914037	-0.004117537	-0.20440812	-0.17489415	-0.0048386324	-0.04844873	-0.08094243	0.5500385	0.22330718	0.07425665	0.014088811	0.17482539	-0.048005927	-0.05444281	-0.040987488	-0.063279904	0.015475936	-0.15680134	-0.35843903	-0.6915034	-0.1061676	0.009786161	-0.29496738	-0.23449169	0.09701113	-0.23745248	-0.11662535	-0.15030548	-0.37255284	-0.0061746747	0.2877569	-0.107873656	-0.018264044	0.043893464	-0.27880463	-0.05199545	0.3381283	-0.08262787	0.18935592	0.06816515	-0.033645324	-0.0653306	-0.1646825	0.38476837	-0.064265266	0.12570144	-0.20602539	-0.23122065	-0.055949673	0.096509926	0.1699947	0.3289645	-0.1426382	0.014575385	0.11175096	0.19648911	0.05694118	0.09110374	-0.1721044	0.1017253	0.036187485	-0.30333027	0.2761429	-0.1883297	-0.12569822	0.12516958	-0.18697463	0.06831304	-0.22993828	-0.018607905	0.2303173	-0.032071713	-0.025498843	-0.07121486	-0.11336458	0.14926681	-0.043533895	-0.09964152	-0.17809294	0.10973844	0.13757886	0.06941867	0.04377893	-0.126427	0.041168768	-0.13721798	0.07940982	-0.16068326	0.23872223	-0.029722292	-0.16332099	-0.043282036	0.12460965	0.075237684	0.15695943
a	-0.11973481	-0.1170614	0.13836469	0.031939726	-0.0014992214	0.018906353	-0.12137138	-0.022017207	-0.07679034	-0.05317554	-0.19014783	-0.2446853	0.08304848	-0.0063025164	-0.054150116	-0.07712795	-0.025476562	-0.27534682	0.057767715	0.23349111	0.098666325	-0.04849981	0.09197145	0.10120852	0.0841772	0.07317156	-0.001382479	-0.09917982	0.114578046	0.17817104	0.08332647	-0.2110164	0.13087681	0.02585075	0.18179251	0.06727538	0.0043209484	0.19128942	-0.087465286	-0.14114195	0.028995598	0.16107927	0.0780914	0.022477003	-0.0261612	0.009060043	-0.121141896	-0.28919145	-0.006701839	-0.08077881	-0.052804153	0.026800035	0.0002476075	-0.025049528	-0.036930796	0.13109954	0.011203611	0.01535049	0.08402532	-0.08619639	0.13775769	-0.27415168	0.021804724	-0.073870994	-0.07285122	0.13943799	-0.027034188	0.03871963	0.16623509	-0.016946835	0.048895568	-0.048061516	0.07733199	-0.041330483	0.031402715	-0.12928623	-0.027976118	0.20337799	0.055786293	-0.07843766	-0.08979375	-0.14217754	-0.059054364	0.021698544	-0.10900249	-0.10386438	-0.17536205	-0.10141819	-0.12648274	0.070682116	-0.056242254	0.053686634	-0.0015814045	0.0133257145	0.026545672	0.15816297	0.06966799	0.029099204	0.18929988	-0.10009594	0.06618334	-0.09327375	-0.025230344	-0.09955117	0.05822877	-0.080277674	0.08970641	0.21414265	-0.09325097	0.109745346	-0.06265229	0.0074483985	0.01714289	-0.059182458	0.14155492	0.041668613	0.007857002	0.12636769	-0.18001878	-0.16770981	-0.016183706	0.036817595	0.004368507	-0.29859242	-0.056085024	-0.099852495	-0.08769604	0.058145113	0.056883983	0.16787346	0.17476983	-0.014274322	0.06369853	-0.07687075	-0.10568417	0.0885785	0.036788642	0.034524128	-0.07797749	-0.04181919	0.044940848	0.13983108	0.0560773	-0.04012479	-0.26834965	-0.08324106	0.19477078	-0.0023287772	0.0410002	0.12519856	0.17632115	-0.039531786	-0.024880713	0.04490157	0.09868569	-0.19130647	0.16244479	0.036073197	0.085250415	0.09173696	-0.042444706	-0.17781304	0.05143787	0.067484386	0.044638664	0.08590244	-0.34479886	-0.12706457	-0.106347464	-0.08397296	0.0017905968	-0.109520525	-0.07924557	0.039836064	0.008950111	0.059370156	0.057658613	-0.22463995	0.089836046	-0.04099972	-0.06548397	0.07775395	0.028673938	-0.1453865	0.07775579	0.0002734014	0.13653216	-0.047207046	-0.027197368	-0.10807322	-0.11607319	-0.012562368	-0.11059388	0.13005792	-0.037761457	0.05526964	0.093516685	0.41053352	-0.0494159	0.17153479
abarelix	-0.10516387	0.35150135	0.047296498	0.26529452	0.18715094	-0.065108486	0.3953664	-0.3582882	-0.04273736	-0.03060262	-0.0036308398	-0.21527381	0.040848292	0.07287364	-0.010086865	-0.21004198	-0.11701187	-0.23205906	0.09730654	-0.30766782	0.11770095	0.24488923	0.11470114	-0.023507813	-0.31329995	0.21725246	-0.18589291	0.35031697	-0.21057525	-0.05494571	0.16623686	0.008311407	-0.28476784	-0.061525118	0.26668492	0.06553363	-0.44228646	0.18517198	-0.14054501	0.09774056	-0.2930927	0.13398305	-0.079706125	0.31943822	0.32518524	0.03609148	0.16471809	0.46334764	0.041753627	-0.029715441	0.2838227	-0.011812961	0.17711274	-0.13372594	-0.2505048	0.12746835	0.3236697	-0.08992576	0.1496571	0.3126115	-0.0045394953	0.12521143	0.20980377	-0.10243577	-0.7217667	0.13792177	-0.23125882	-0.3432791	-0.0652678	-0.018549846	0.13259265	0.064322695	-0.6329026	0.12907587	-0.11325348	-0.12286725	0.22854432	-0.050779972	-0.20810619	0.10367054	-0.15284087	0.30012783	0.16492788	-0.060051795	0.0059445733	0.041102007	-0.15774317	0.26054502	0.20971125	0.11639811	-0.18118472	0.356945	0.0897348	0.14530313	-0.05880588	-0.07287393	0.097093135	-0.20224537	0.12964489	0.3795262	-0.16337697	-0.33703196	0.20049192	-0.12162553	0.24365051	0.21328327	0.41473693	-0.026919695	0.06505905	0.021370802	0.2687994	0.053763337	-0.09609574	-0.15587336	0.050678685	0.2527459	-0.20521829	0.09937232	0.021145055	0.14374264	-0.077258945	-0.30055413	0.2557849	-0.043122217	-0.18903744	0.33130524	-0.042789947	0.0205349	0.05647346	-0.14204593	-0.281255	0.6436816	0.09017765	-0.029505517	0.07606315	0.13744593	-0.16194198	-0.04564707	-0.038534693	0.32453743	-0.06312326	-0.09207816	0.00885728	-0.20505568	-0.069774695	0.08523329	0.39379144	0.06748485	0.27058426	-0.013028459	-0.079113156	0.12018158	0.16953206	0.109212466	0.37315637	-0.25854254	0.21619351	-0.30306444	0.13121119	0.031102872	0.0034816116	0.1495962	-0.08829795	-0.096947454	-0.10930801	-0.043643564	0.37334538	-0.042783476	0.15563636	-0.20661393	0.08177667	-0.1774526	-0.16152753	0.037789654	-0.09960655	0.09568047	-0.10287191	-0.30127788	-0.24007826	-0.18488866	-0.16114952	0.030108258	-0.16773476	-0.22808824	0.055909757	-0.28031248	0.08329503	-0.04452232	-0.01226736	0.06270218	0.030086754	-0.3578968	-0.10201409	0.03362716	0.2050159	0.028440334	-0.115607455	-0.07648039	-0.47517958	0.16589178
abatacept	0.002331176	0.3234867	0.01153507	0.21396334	0.024010092	0.45159698	0.22425264	-0.19774368	0.23995046	0.17259802	-0.07406301	-0.09265627	0.18149875	-0.049107548	-0.08178611	-0.016793411	0.14819677	-0.29561	0.16105476	-0.34891778	-0.21583743	0.13255078	-0.1307687	0.012934757	-0.19921894	-0.2272356	-0.16285929	-0.24690136	-0.18276903	-0.3306618	0.1524622	0.1116013	0.02644073	-0.42622343	0.10152739	-0.31822014	-0.26876727	0.19633825	-0.26364338	0.045820873	-0.5666771	0.08019866	-0.29635304	0.15206073	0.31753573	-0.34360895	0.21128894	0.036310427	-0.26488736	-0.030625885	0.20373905	0.11390065	0.23525529	-0.023040568	-0.36878377	0.061844207	0.057486773	-0.22586057	0.61883605	0.13813548	0.017657064	0.17757042	0.2676665	0.12935568	-0.4300728	0.23207177	-0.17205492	-0.3066401	0.13917856	0.16482054	0.46506053	0.3990875	-0.40634662	0.10772342	-0.26285073	0.15609273	0.3811331	-0.36309168	-0.45307654	0.2682071	-0.18521723	0.21022141	0.3277911	-0.068402626	-0.62701833	-0.068197735	-0.48903182	0.2745771	0.11460259	0.19951276	-0.35042855	0.14456679	0.104171015	-0.006382383	0.6254714	0.3200535	0.20054486	-0.2916286	0.19021173	-0.25702754	-0.024012526	-0.43642345	0.3296187	0.28831828	0.3084888	-0.0467578	0.17274432	0.045820046	-0.13910396	0.20836306	0.50267386	0.009422947	0.034854442	-0.40505198	-0.06654235	0.5815636	0.015920922	-0.2421168	0.5330621	0.6196863	-0.22391184	-0.31255707	0.09856119	-0.2446664	0.00050166185	0.39746714	-0.02043037	-0.1691441	-0.16677126	0.12933795	0.01450341	0.1230329	-0.19092369	-0.32679304	-0.49168986	0.05834255	-0.27884874	0.33756095	-0.18358263	0.2754047	0.008185108	0.008502946	0.16886392	0.20944363	-0.18520541	0.15783007	0.37712178	0.119541064	-0.34234148	-0.006046558	0.17007671	0.065436445	-0.19750991	0.17209962	0.23012978	0.001618149	0.14012267	-0.2667326	-0.059599016	-0.0035498054	-0.22537908	-0.22774717	0.2769862	-0.20268865	-0.35201788	0.29343903	0.5473329	0.5364957	0.31369072	-0.48923868	0.06320999	0.029211221	-0.43743053	0.051376667	0.060713217	0.32852063	-0.3072689	0.16540916	-0.013321968	-0.5435379	-0.00973097	-0.13985299	-0.69584435	-0.058634747	0.19933566	-0.08758691	-0.14002164	0.34237927	-0.022360682	-0.29631317	-0.12885408	-0.30701223	-0.004503738	-0.18134698	0.19983993	-0.4898047	-0.08221413	0.08975256	-0.60236907	0.19185463
abciximab	0.087001	0.15056992	0.10575866	0.051661603	-0.03480916	0.029074645	-0.304426	-0.19946316	0.17841955	0.24920529	-0.51493084	-0.052398723	0.13641632	0.010462435	-0.14517477	-0.11231775	0.004152168	-0.2843608	0.2930548	-0.32018933	-0.10894499	0.28735897	0.20033969	0.18113047	-0.28258488	-0.37957668	-0.0639849	0.13555796	-0.28636762	-0.18277873	-0.1769188	-0.10482101	-0.07184928	-0.0899702	0.4339965	0.231406	0.010746188	0.387539	-0.549474	-0.2699074	-0.79672915	0.12900738	-0.65903854	0.51664263	0.07984952	-0.083941035	0.21695073	-0.023615802	0.20382403	-0.22197443	-0.13300335	0.0055334605	0.1965233	-0.34647584	-0.716234	-0.119723655	0.27240956	-0.47799355	-0.075002134	0.18451273	0.20910172	0.04393096	0.19387308	0.0011592039	-0.58660847	-0.6210041	-0.27751887	-0.19210614	0.1581903	-0.27368438	0.04427354	0.30725402	-0.018678172	-0.13263023	-0.2601401	0.34717706	-0.04841394	-0.1771097	-0.50580794	0.14827965	-0.013028502	-0.07969322	0.42025134	0.18732569	-0.10062513	0.19980761	-0.26487428	-0.24370182	0.31072882	0.19686028	-0.17658803	0.015737878	0.100206636	0.1937413	0.3372261	0.053589195	0.3977753	-0.09388498	-0.33960408	-0.5787459	0.043731406	0.04757678	0.5084432	0.24739969	-0.021549692	-0.2030697	-0.056096725	-0.060037225	-0.064730905	0.13735928	0.23854613	-0.0028774114	-0.49492115	-0.31987727	0.4564841	0.43215412	0.18776277	-0.26240432	0.08735111	0.45276153	-0.18074086	0.029512722	0.2574149	0.15807535	-0.10555757	0.5802208	0.2538101	0.063622475	-0.48791537	-0.37065563	-0.14168325	-0.03716564	-0.101608515	-0.26060075	-0.14667627	-0.021567183	-0.22526504	-0.1771761	-0.1042656	0.14432378	0.09464859	0.5035935	-0.06152165	0.07167968	-0.06445255	-0.062039986	0.33872768	-0.14534318	-0.16949621	0.37349692	-0.027318541	-0.15225452	-0.16875374	-0.061410505	-0.0274127	-0.289936	-0.4423091	0.05349095	-0.019457795	-0.31782848	0.042089928	-0.103131615	0.035144377	-0.15854117	-0.22340594	0.3313899	0.6702971	0.21068475	0.22634974	0.14581373	0.6506349	0.3062822	-0.05248811	0.21027172	0.1848014	0.25594348	-0.03856628	0.03802063	0.11689454	-0.14246236	0.18184617	0.19528128	-0.28389013	-0.37868214	0.06468738	-0.2364392	-0.0634586	0.27108628	-0.4167104	-0.10794628	-0.14165226	-0.22536947	0.016156137	-0.15060164	0.23766416	0.023798194	0.029043281	-0.23299974	-0.21519646	0.13293922
abiraterone	-0.17114338	0.5063398	-0.040486928	0.34828445	-0.0017098862	0.06383698	0.19916934	0.0034824274	-0.14992395	-0.48798764	-0.25519103	-0.3235944	-0.10831885	-0.021778047	0.1477744	-0.35692015	0.15711747	-0.5175493	-0.2945355	0.1831613	0.11592699	0.10164379	-0.045648385	0.3322067	0.028642453	0.030246718	-0.1464258	0.3816418	0.076259434	-0.08887568	-0.007710988	-0.16042584	-0.29297277	0.010570868	0.27638564	-0.30831608	-0.6060635	0.11107891	0.06500939	-0.025657445	-0.5932923	-0.23093818	0.06066852	0.26654145	0.29687586	-0.10318072	0.08819021	-0.15226182	-0.009296201	-0.15540047	0.36482313	-0.12002399	0.17028436	-0.14510971	-0.23836575	0.12993208	0.45144486	0.006864851	0.35144705	0.49122337	0.3568031	0.019414622	0.17537431	-0.28203464	-0.80525875	0.16976517	-0.15107402	0.22228219	0.0056457105	-0.058960166	0.7643797	0.14769064	-0.29666921	-0.069832556	-0.092081316	0.0077781207	0.14524287	-0.2962851	0.04743119	0.18555313	0.17440659	0.35374716	0.20790488	-0.20950058	0.28832433	-0.004860982	-0.1790118	-0.011626543	0.35587272	0.38441697	-0.48780218	0.5342743	-0.115181446	0.00033165567	0.010909068	-0.25018105	-0.059032783	-0.22539015	0.1367937	0.6726286	-0.0050874827	-0.034732647	0.44664547	0.1733096	0.31100875	0.32382068	0.20848963	-0.35706663	0.23182078	-0.026160795	0.34339014	-0.48751867	-0.015716141	-0.0723167	0.25717127	0.4943844	0.05514395	0.31644273	0.08464587	0.24200003	-0.46136895	-0.1904008	-0.23255035	-0.3879164	-0.24308068	0.37651974	-0.08531302	-0.1041682	0.0027227174	-0.120826535	-0.065742895	0.510909	-0.08967007	-0.10219425	-0.18649906	0.13310467	-0.3978057	0.4315491	0.17142768	0.05942612	-0.41299474	-0.17286569	0.21871157	-0.4911404	-0.17068595	0.24824665	0.60573786	-0.3650324	-0.009491985	-0.06418842	0.23086402	0.3081201	0.27888906	-0.20795123	0.07196214	-0.14317745	0.16208465	-0.2529895	-0.1926293	-0.4098802	-0.4239458	0.054755997	0.19078396	0.33041072	0.0078017237	-0.023432342	0.33100182	-0.1429916	0.1879322	-0.11996441	0.009576736	-0.11606045	-0.62979305	0.26983294	-0.110412665	-0.15858519	-0.19246478	-0.4620848	-0.117676705	-0.80991066	-0.39573604	-0.17507692	-0.7344849	0.22897367	0.13826291	-0.37472594	0.111605145	-0.0970521	0.025165392	0.5388115	0.02244432	-0.31356922	-0.25573003	-0.28975648	0.22856309	0.05811692	-0.45009786	-0.13477018	-0.28173319	0.27691743
abobotulinumtoxina	0.075117655	0.028424114	-0.09211461	0.079524934	-0.08485534	-0.005337912	0.061374765	0.03992409	0.004772839	-0.023785014	-0.12286472	-0.034629397	-0.019253256	-0.04754849	-0.120172024	0.07252398	0.028727876	0.059621952	-0.10758928	-0.09420185	-0.051783282	0.037476614	-0.0054808953	-0.026856177	-0.085139945	-0.04667873	0.0330774	0.068124205	-0.0475385	0.11347094	-0.02755694	0.055825558	-0.02993717	0.015667593	0.0355788	0.036956504	-0.12260304	-0.014270338	0.0016229784	-0.03274392	0.0203952	0.09022329	-0.06152465	0.01246039	-0.030169388	-0.014679016	-0.077184334	0.009844837	-0.0062093753	-0.048913382	0.10037033	-0.041292492	-0.009330439	0.0923355	0.03181464	-0.027317468	0.00486234	-0.03425111	0.06252681	0.005219723	0.14227754	0.010179216	0.18149236	-0.10537413	-0.071283825	0.051332414	-0.041568354	-0.09276695	0.08475949	0.13739695	0.03933912	0.042908464	-0.009433931	0.08980233	-0.17309222	0.08078744	0.018224213	0.015057917	0.07985507	0.041345492	-0.031524993	0.041698523	0.04338079	-0.09476387	-0.040031966	0.034101013	0.06260038	0.007234648	0.029211638	0.080264	0.04490925	-0.10939036	0.015490942	-0.029981734	0.0037555997	0.004342021	-0.10122378	-0.14681639	-0.055120423	-0.024032278	-0.17738442	-0.06070224	0.048226725	-0.009663891	0.04819259	0.08651265	0.027242107	-0.15879357	-0.002105248	0.031557076	-0.07407786	0.07072688	0.11240475	-0.034552116	0.012656879	0.060396746	-0.02012055	0.028751578	0.06260885	0.12408949	0.015536586	-0.083095215	0.044351764	-0.15965685	0.028801646	0.04445005	0.11107885	-0.02398205	-0.051798135	-0.08289641	-0.036388237	-0.011142413	0.023599712	-0.051017888	0.022839582	-0.02765683	-0.12564598	-0.028511636	-0.017193856	0.013589065	0.06352467	0.050654966	0.12657341	-0.046593968	0.20524436	-0.07317339	-0.032968774	0.10236128	-0.016852329	0.05032382	-0.04682084	0.08978686	0.016983634	0.053058825	0.088585645	0.030133372	-0.056872904	0.05880156	0.022385666	0.06373491	0.036769617	0.19561218	-0.00131773	0.001534769	-0.018905066	0.1016833	0.007121142	0.024625825	0.053215515	-0.09789809	-0.08864111	0.05998019	-0.057917047	-0.026517436	-0.0076943194	0.05100413	-0.050330356	0.04277536	0.0692296	-0.059299033	-0.06481759	-0.11543099	-0.08445086	0.040363796	0.12039693	-0.09989559	-0.012894472	0.013281711	-0.028194325	0.050810117	-0.037108153	-0.037317466	0.019555194	0.07512641	-0.066359304	0.0521717	-0.01533343	-0.085393384	-0.049001668	0.100148655
acamprosate	-0.15598544	0.3022873	0.14872412	-0.25770468	0.1338661	-0.08106185	0.18674229	-0.12305511	0.01471727	0.102466226	0.11680639	0.20735216	0.07127158	-0.1371369	0.093020946	-0.017016059	-0.030941064	0.010596986	0.06456076	0.1622323	0.38471863	0.061727423	0.16088092	0.2856364	0.07252685	-0.4969575	-0.15052418	-0.27891195	0.07262595	-0.2373038	0.02266606	-0.25330362	0.23204459	0.047541793	0.22322354	0.14814705	-0.48385897	0.23354618	0.012987992	0.0019603854	-0.2644744	-0.0291085	-0.1088993	0.48402795	0.41117296	-0.17825381	-0.008917597	0.006091143	0.17196012	-0.31443092	0.26948434	-0.5037642	0.19197984	-0.35494873	-0.28359535	0.21560033	0.466638	0.03155525	0.33828455	0.07878316	-0.0053011915	-0.23022161	0.30483836	0.029120667	-0.59390855	-0.35277846	-0.21940972	-0.20859285	0.15688209	0.17693803	0.19039933	-0.11933008	-0.13010646	0.05667638	-0.28325364	0.04609433	0.2949157	0.08077895	0.18614025	0.35273197	-0.011238862	0.103049874	0.25452834	-0.11657156	-0.24838838	0.1475154	-0.1657621	0.061929446	0.18832216	0.47407377	0.025836287	-0.18424034	0.043030564	0.0014389348	0.2149965	-0.18506104	0.15970196	0.2967444	-0.15116793	0.067130715	-0.3642578	-0.045166057	0.502066	0.31500298	-0.1081162	0.12695986	0.06765975	-0.07438029	0.19424845	-0.020782702	0.27244663	0.050292	-0.28393388	-0.72685516	-0.2186939	0.4155066	-0.1293965	-0.015201502	0.22704528	0.22787377	-0.13562405	-0.15120323	0.060161818	-0.1965901	-0.11039009	0.38229954	-0.12026486	-0.28493357	0.066753015	-0.14941876	0.14791945	0.21878728	-0.0073287343	0.12247004	-0.18683155	-0.36482096	-0.16020992	0.012596476	0.27546924	0.08202531	0.018557226	0.1453164	0.12692979	0.17540935	-0.033553805	0.3859327	0.08916572	-0.024752105	0.16010389	0.052872192	-0.2496216	0.08872281	0.052667487	0.3978098	0.56460786	-0.38286	0.20496587	0.27970925	0.10803157	0.053025723	0.15363926	-0.08925466	-0.36161867	-0.30448413	0.28998086	-0.19159044	0.4279079	0.3757668	0.29122677	-0.1796579	0.031150872	-0.14950162	-0.29860073	0.061039522	0.23317014	0.26850057	-0.19381289	-0.17936695	-0.16395003	-0.6079251	-0.22960578	-0.038063157	0.104616806	-0.13004185	-0.29126617	-0.10209818	0.22583403	0.081446305	0.030089956	-0.20298794	0.2991068	-0.15620087	-0.29917905	-0.07714211	0.03997954	-0.28780833	0.26629466	0.08445403	-0.30903453	0.13516368
